Epoch,NRC1,NRC2,Train Loss,Test Loss,
1,0.449579328,3.4983635,65.13909101,99.57011908,
2,0.332520664,2.852302,54.84496808,82.6116327,
3,0.297142237,2.5447774,53.74777293,75.08902498,
4,0.223876,2.423437,46.89234138,72.98034234,
5,0.198624373,2.138236,47.64226913,64.22541587,
6,0.201952502,2.0136983,45.4432673,58.12453791,
7,0.20441103,1.8544862,42.47208023,51.70215907,
8,0.201843306,1.7967237,42.31122637,45.43623884,
9,0.210655764,1.7804791,41.53546,41.56014744,
10,0.211428955,1.8025825,39.7854033,39.16910465,
11,0.2112609,1.796091,40.31822348,38.04671127,
12,0.211152107,1.7877693,36.4695488,37.62198381,
13,0.209635675,1.776525,32.98280597,38.71982077,
14,0.215360344,1.8438382,30.62026033,41.16558003,
15,0.204386324,1.8342415,29.29894996,41.91497833,
16,0.19956775,1.9532025,29.21430659,43.73496593,
17,0.190577596,1.987503,28.00053191,43.09330673,
18,0.171596989,1.9512092,22.091398,42.27536454,
19,0.142815188,1.8975213,22.32317305,38.70406757,
20,0.152196258,2.0239918,15.82963943,36.72983668,
21,0.14149718,2.0614867,11.56703568,36.8107309,
22,0.140079126,2.0870292,9.179035938,34.16626235,
23,0.101607837,1.8326324,6.751598462,31.31639084,
24,0.106745742,1.9324788,6.71794273,28.19298213,
25,0.101922654,1.998278,5.835915416,26.91258493,
26,0.078570166,2.0952854,6.11614497,24.09351708,
27,0.105943717,1.9468466,6.412446544,22.16400914,
28,0.091666814,1.6378788,5.649397507,20.13837591,
29,0.101111902,1.5585856,5.032824174,18.62166919,
30,0.09184796,1.5622032,4.117768541,17.7288149,
31,0.061148749,1.4599642,3.959283628,18.02191565,
32,0.08200843,1.3787308,6.108793482,18.02134832,
33,0.091703306,1.2839136,4.840796381,18.10119459,
34,0.073504581,1.1270566,4.438070923,18.42535469,
35,0.066127268,0.975957,4.645371079,19.42535469,
36,0.063496247,0.928712189,4.129019782,18.92431441,
37,0.05279975,0.817598074,4.707046777,18.84851152,
38,0.057150714,0.817081782,3.701333553,18.77247694,
39,0.042670093,0.816204391,3.806516714,17.89844603,
40,0.046579693,0.814867741,4.128465101,18.61928671,
41,0.045723908,0.812985096,3.992767788,18.54194169,
42,0.039766222,0.810483299,5.056759357,18.46399097,
43,0.030027239,0.807304592,4.267507285,18.38537359,
44,0.028606411,0.803408051,4.58570002,17.56162802,
45,0.026150348,0.798770608,4.109599762,18.22597896,
46,0.031449698,0.793387619,4.753757156,18.14516667,
47,0.027505891,0.787272983,3.879627116,18.06361848,
48,0.024233162,0.780458797,4.239324555,17.9813629,
49,0.023243241,0.772994556,4.634371229,18.69610206,
50,0.020999251,0.764945922,4.582401529,16.6386114,
51,0.021529008,0.756393092,3.703648411,17.73089347,
52,0.020787628,0.747428801,5.212906882,17.64642564,
53,0.016995981,0.738156019,4.368405819,18.30604515,
54,0.021144098,0.728685389,3.784757093,17.47660994,
55,0.019461146,0.719132474,4.01026348,16.32036727,
56,0.020866958,0.709614883,3.837706715,16.24254308,
57,0.018152636,0.700249346,3.418809772,17.22139122,
58,0.016934341,0.620536349,4.169998258,17.13665104,
59,0.015274861,0.61790327,4.107499994,15.32640218,
60,0.014635107,0.614583711,3.632171921,16.96832209,
61,0.014608928,0.610540251,4.386326149,16.88492047,
62,0.014983591,0.605753475,5.300149351,16.80213136,
63,0.01263175,0.600222454,4.439954259,16.72001411,
64,0.011415756,0.59396477,3.466997847,17.8149304,
65,0.010692784,0.587016076,5.27582328,16.55794811,
66,0.012043402,0.579429212,3.877879456,16.47803073,
67,0.010575046,0.571272891,4.756487578,15.48077726,
68,0.008568288,0.562629987,4.033378936,15.40386272,
69,0.008916453,0.553595477,4.301443823,18.84851152,
70,0.00868916,0.544274076,4.022406802,16.16531052,
71,0.007567998,0.534777637,4.377216294,17.39148621,
72,0.007722148,0.525222363,3.943838842,17.30637426,
73,0.069713863,0.515725924,3.417887047,15.09009147,
74,0.00591898,0.506404523,3.619897485,14.76483066,
75,0.012028314,0.497370013,3.54370337,18.84851152,
76,0.016868833,0.488727109,3.561340414,15.18201928,
77,0.012647335,0.480570788,3.918862738,14.91820183,
78,0.016758802,0.472983924,3.277376488,12.01302911,
79,0.013176706,0.46603523,4.019735366,12.98319283,
80,0.015211636,0.459777546,4.248919129,13.10280143,
81,0.005274232,0.454246525,4.114259116,16.88492047,
82,0.004748103,0.449459749,4.517573699,15.2483225,
83,0.043348884,0.445416289,3.749791481,15.1695659,
84,0.042550447,0.44209673,4.443771645,14.10183098,
85,0.038642043,0.439463651,3.889011227,15.00987614,
86,0.034817748,0.437462559,4.802823409,14.92891526,
87,0.033556474,0.436023244,3.714113027,14.84722273,
88,0.039709187,0.435061522,3.770256825,16.27392132,
89,0.038557425,0.434481331,3.629091896,14.68178853,
90,0.028705269,0.434177122,4.177594118,14.598162,
91,0.034670006,0.434036479,4.088058896,14.51403128,
92,0.03074795,0.433942922,3.887095951,14.4294891,
93,0.003174998,0.433778796,3.945034191,12.34463843,
94,0.030100192,0.433428203,4.285337292,13.25958991,
95,0.010838902,0.432779883,3.583870813,13.17445911,
96,0.033142101,0.43172998,3.095617667,12.08936363,
97,0.026206386,0.430184625,3.978980139,11.0044202,
98,0.029076519,0.428062272,3.806087784,12.91974178,
99,0.030898007,0.425295727,4.796580568,12.83543472,
100,0.027282219,0.421833816,3.165336728,12.75159614,
101,0.024153073,0.417642659,3.466941521,12.66831152,
102,0.032066051,0.412706513,3.867614597,11.58565255,
103,0.02596661,0.407028166,5.311450034,13.50367535,
104,0.023696213,0.400628861,3.08633481,11.42241912,
105,0.023903931,0.393547777,4.633475482,12.34190508,
106,0.026090394,0.385841045,3.610803008,11.26213603,
107,0.023612634,0.377580358,3.792675018,12.18309623,
108,0.027942113,0.368851187,3.553020962,12.1047518,
109,0.021757379,0.359750654,4.00313703,11.02705156,
110,0.016364418,0.350385117,3.584769018,12.94992831,
111,0.002063001,0.340867526,3.677311487,11.87330052,
112,0.01580507,0.331314611,3.33362744,12.79707431,
113,0.034748425,0.321843981,4.04312396,10.72114583,
114,0.001768416,0.312571199,3.633159801,10.64540381,
115,0.017666719,0.303606908,3.217314921,9.548272357,
116,0.001664911,0.295054078,3.154423513,10.4651076,
117,0.017493482,0.287005444,3.165313147,12.41813173,
118,0.001723914,0.279541203,3.296786316,9.341973654,
119,0.017495255,0.272727017,3.443776108,9.265434042,
120,0.001588402,0.266612381,3.754339837,6.188416838,
121,0.018011249,0.261229392,4.01800181,7.110837857,
122,0.001596275,0.256591949,3.258828633,7.032626888,
123,0.024318986,0.252695408,3.330295444,8.953729439,
124,0.001478903,0.249516701,3.366225399,10.87410809,
125,0.014034902,0.247014904,3.358168669,5.793743425,
126,0.001433647,0.245132259,3.18929451,7.712634515,
127,0.013171817,0.243795609,3.360085532,6.630798941,
128,0.012229888,0.242918218,3.490975611,5.569732365,
129,0.013050921,0.242401926,3.219896056,5.494013833,
130,0.011877168,0.242139595,3.463631295,5.381373394,
131,0.012042645,0.242017768,3.27308996,5.2971526,
132,0.013885492,0.241919495,3.37497215,6.2125402,
133,0.012867794,0.24172724,3.339487396,6.248403859,
134,0.012007219,0.241325804,4.002466589,7.164565282,
135,0.011501831,0.240605192,4.051541425,8.080258222,
136,0.01103525,0.239463345,4.200175233,7.9955798,
137,0.010012304,0.237808682,4.545892462,6.910636374,
138,0.011171532,0.235562376,3.907904863,6.825540893,
139,0.010900851,0.232660314,3.295166127,7.740410088,
140,0.01174591,0.229054693,3.160813719,7.655361569,
141,0.011909343,0.224715207,3.259497687,7.570510898,
142,0.011871358,0.219629804,3.298205853,5.485968717,
143,0.012096195,0.213804981,3.695088319,6.401837997,
144,0.012139188,0.207265627,3.440365255,7.318211474,
145,0.012306613,0.200054402,5.16412358,7.235169343,
146,0.010048543,0.192230674,3.152041823,6.152777268,
147,0.012388229,0.183869048,3.53335657,6.967373112,
148,0.012596507,0.175057503,3.791233152,6.889162143,
149,0.011829743,0.16589521,3.200919405,7.811583162,
150,0.012033711,0.156490064,3.622051142,6.734565958,
151,0.0111389,0.146955999,3.655128792,5.658026346,
152,0.001029263,0.137410156,3.225017399,5.581868266,
153,0.001006009,0.127969967,3.160987392,5.505986167,
154,0.010362496,0.11875024,3.665040627,6.430267635,
155,0.010996669,0.109860295,3.956942618,5.354596188,
156,0.011233678,0.101401255,3.262920544,5.278854173,
157,0.010957218,0.093463522,3.185612619,5.202925691,
158,0.009307559,0.094730645,3.440927915,4.126699481,
159,0.013664754,0.082881011,3.112249419,5.050071688,
160,0.008066903,0.093461432,3.532164529,5.972948444,
161,0.008633931,0.086124535,4.202731356,6.895248202,
162,0.008547168,0.079446842,3.312978007,5.816903767,
163,0.01123208,0.073476541,3.39065925,4.737863967,
164,0.030986739,0.071398928,3.500075184,7.65809492,
165,0.012107323,0.082172461,3.270118207,8.577580885,
166,0.011232259,0.072837297,5.339998305,8.496324648,
167,0.009900426,0.082738223,3.320525207,6.414347454,
168,0.010915274,0.072831287,3.104672737,5.33168848,
169,0.009959938,0.072183991,3.016788914,5.921302193,
170,0.011620977,0.079217391,2.980081622,5.071084743,
171,0.010298984,0.078313775,3.038815581,5.990123864,
172,0.009664577,0.079213981,3.051984081,5.909908531,
173,0.010958606,0.070162676,2.970921306,6.830434102,
174,0.00993446,0.076001033,2.997169586,5.751677505,
175,0.009378613,0.078118883,2.992511942,5.673597819,
176,0.026281797,0.069502816,2.99158509,5.596137284,
177,0.00896066,0.070844389,2.982005477,5.519222745,
178,0.010348135,0.049983669,3.071325559,5.442767464,
179,0.021439618,0.062181976,3.099774627,5.366673283,
180,0.009102201,0.054867621,3.040235547,5.290833062,
181,0.009116641,0.053084727,2.975221781,5.215133346,
182,0.017780038,0.052984554,3.040862771,5.139457183,
183,0.008796836,0.057393638,3.076349084,5.063687039,
184,0.0096789,0.053058957,3.029802212,5.987707714,
185,0.00916512,0.050472241,3.012655561,5.911409212,
186,0.009954553,0.050874496,3.073670772,5.834689476,
187,0.008891479,0.054263754,3.024224822,5.757456924,
188,0.009214635,0.059581533,3.040506977,5.088590788,
189,0.00941336,0.058157824,3.023533638,5.012292286,
190,0.011318809,0.058242141,3.065841932,5.936312961,
191,0.009929978,0.063753843,2.996639563,5.860542817,
192,0.009172236,0.060003298,3.06405746,5.784866654,
193,0.009318027,0.056963802,3.086067622,5.709166938,
194,0.009339587,0.054590973,2.983399996,5.633326717,
195,0.01047587,0.052823842,3.078788977,5.557232536,
196,0.009596364,0.051586382,3.045818439,5.213023022,
197,0.010606777,0.050789387,3.014258467,5.692183012,
198,0.011001348,0.0503327,3.026641561,5.128031209,
199,0.011518693,0.050107699,3.065884113,5.289803183,
200,0.009770372,0.058094852,3.031983972,5.921930912,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
