Epoch,NRC1,NRC2,NRC3,Train Loss,Test Loss,,,,,,
1,9.237275124,2.467572174,0.495338479,0.176041933,0.256909484,,,,,,
2,6.073896885,1.638541107,0.258378842,0.113068956,0.135710724,,,,,,
3,3.985013247,1.496919708,0.141537423,0.092421269,0.212628603,,,,,,
4,4.73080349,1.600897675,0.087060276,0.078626151,0.120250826,,,,,,
5,2.625747442,1.517056274,0.067422946,0.06605228,0.121598351,,,,,,
6,2.312517643,1.038086929,0.02140622,0.062987073,0.094226478,,,,,,
7,2.021103382,0.949745865,0.016033595,0.055720299,0.088158661,,,,,,
8,1.709556818,0.901570969,0.012302919,0.053825216,0.090023812,,,,,,
9,1.148362041,0.698188858,0.009736688,0.049390929,0.077347726,,,,,,
10,1.23393476,0.584122467,0.00610942,0.047601571,0.067264404,,,,,,
11,0.784784794,0.604104156,0.00421768,0.047866075,0.112945031,,,,,,
12,0.597090542,0.475626717,0.002151676,0.044514586,0.078980572,,,,,,
13,0.643510818,0.415526314,0.000432097,0.044472198,0.07616362,,,,,,
14,0.442624718,0.392570076,8.91782E-05,0.042320782,0.090562285,,,,,,
15,0.470269263,0.398900452,0.000344018,0.04280284,0.07223316,,,,,,
16,0.357532203,0.277782135,0.000123882,0.041457716,0.084616186,,,,,,
17,0.308751434,0.312076073,0.000138037,0.043173728,0.078879614,,,,,,
18,0.220702738,0.261562214,9.36189E-05,0.040858567,0.068132237,,,,,,
19,0.217410862,0.197217197,0.000179471,0.040471,0.087101305,,,,,,
20,0.231006622,0.177523193,0.000159045,0.039733514,0.066177768,,,,,,
21,0.18145363,0.173988953,0.000394295,0.039579846,0.081974794,,,,,,
22,0.159227595,0.168328419,0.000317663,0.03888148,0.065950571,,,,,,
23,0.157515198,0.142487946,0.000255124,0.038192954,0.067413353,,,,,,
24,0.10279458,0.124847469,0.000129756,0.04021024,0.085755631,,,,,,
25,0.112836935,0.110283222,0.000313758,0.039199535,0.068438146,,,,,,
26,0.12276011,0.106335058,1.64545E-05,0.039141439,0.074214944,,,,,,
27,0.144133329,0.094264393,0.00025201,0.036138049,0.068375739,,,,,,
28,0.106240079,0.089542599,7.30331E-05,0.037366288,0.081620537,,,,,,
29,0.106336504,0.082692308,5.50706E-05,0.038223715,0.088758601,,,,,,
30,0.070850223,0.076233573,1.1254E-05,0.037492417,0.073672513,,,,,,
31,0.107444629,0.071537833,1.91555E-05,0.035444651,0.070110327,,,,,,
32,0.097180411,0.08314559,0.000174371,0.036994958,0.103674913,,,,,,
33,0.251308411,0.057163854,1.47456E-05,0.036991467,0.071561502,,,,,,
34,0.125430539,0.057830687,3.52213E-05,0.036759418,0.068026322,,,,,,
35,0.087785996,0.054215913,2.45824E-05,0.034457247,0.057550829,,,,,,
36,0.098763481,0.048868794,3.13387E-05,0.037106127,0.062707707,,,,,,
37,0.058234971,0.047123928,1.76079E-05,0.035817973,0.066958361,,,,,,
38,0.039575063,0.046383257,0.000201065,0.03596562,0.084144711,,,,,,
39,0.059041541,0.042220645,0.000141234,0.035295194,0.05650439,,,,,,
40,0.103755571,0.048549604,0.000137486,0.034312222,0.073788249,,,,,,
41,0.103443809,0.038674698,0.000105111,0.033537965,0.063406556,,,,,,
42,0.062357128,0.043553185,9.59909E-05,0.034961039,0.062083964,,,,,,
43,0.069663152,0.032229893,3.37548E-05,0.034269891,0.073174049,,,,,,
44,0.071974806,0.035133343,3.14107E-05,0.034935111,0.065947886,,,,,,
45,0.051848125,0.034004896,0.000111072,0.034110883,0.060252623,,,,,,
46,0.058650561,0.03656239,0.000447311,0.033003465,0.075037136,,,,,,
47,0.125449985,0.041126804,4.23618E-05,0.034067358,0.075197533,,,,,,
48,0.048732657,0.026499581,0.000152831,0.034546703,0.060555142,,,,,,
49,0.065773435,0.035739663,0.000197634,0.033615242,0.076766133,,,,,,
50,0.099176973,0.032077124,0.000154311,0.035850221,0.061496301,,,,,,
51,0.13741672,0.026792653,9.27284E-05,0.034006623,0.059795865,,,,,,
52,0.08582814,0.029514458,4.96848E-06,0.031703576,0.06327882,,,,,,
53,0.073549554,0.033210151,0.000159617,0.031800779,0.057454968,,,,,,
54,0.048343498,0.030324678,8.61003E-06,0.033448499,0.059373093,,,,,,
55,0.067965604,0.025954831,1.21799E-05,0.031821136,0.05837652,,,,,,
56,0.099298231,0.019344468,0.000180503,0.032864193,0.065710868,,,,,,
57,0.079107918,0.022958624,0.000148961,0.032676269,0.06508649,,,,,,
58,0.082988471,0.026062191,4.02308E-05,0.031440431,0.060812514,,,,,,
59,0.075590298,0.024859555,0.000106666,0.033144568,0.066541227,,,,,,
60,0.063683249,0.019700494,0.000188101,0.03101338,0.07034556,,,,,,
61,0.064723596,0.026965537,8.68201E-05,0.033186124,0.068739197,,,,,,
62,0.058955994,0.016929892,0.000168869,0.034127505,0.058488952,,,,,,
63,0.054297768,0.027560472,2.26362E-05,0.032259618,0.076323009,,,,,,
64,0.058037773,0.022866037,6.3387E-05,0.030204173,0.056951983,,,,,,
65,0.086975433,0.020523121,0.00018102,0.032435835,0.051543617,,,,,,
66,0.062002558,0.02094795,5.21048E-05,0.031413156,0.060815413,,,,,,
67,0.048806503,0.017588241,7.29355E-05,0.032277223,0.068577321,,,,,,
68,0.08652731,0.017843595,3.60562E-05,0.031110037,0.078406615,,,,,,
69,0.059474733,0.02048512,0.000151954,0.032104123,0.064768786,,,,,,
70,0.051553745,0.017350779,1.54621E-05,0.031489233,0.058300196,,,,,,
71,0.042285968,0.018390524,0.000361613,0.033856619,0.063110508,,,,,,
72,0.071257226,0.022969506,0.000109826,0.035053931,0.075001234,,,,,,
73,0.054965705,0.018689919,9.6925E-05,0.031928127,0.07494497,,,,,,
74,0.03285919,0.020287585,2.08667E-05,0.028864098,0.058210103,,,,,,
75,0.034014699,0.022344761,0.000132136,0.030038802,0.057468915,,,,,,
76,0.047020372,0.020082433,0.000112377,0.031347701,0.064303552,,,,,,
77,0.037768553,0.017381474,8.49308E-05,0.032755218,0.049438756,,,,,,
78,0.046179328,0.015245117,3.80847E-05,0.030519059,0.053119209,,,,,,
79,0.050778039,0.020011785,1.23516E-05,0.032205815,0.075245087,,,,,,
80,0.041117452,0.018895329,0.000193984,0.03020031,0.07331086,,,,,,
81,0.050919577,0.02026356,0.00017216,0.031100065,0.062279307,,,,,,
82,0.036948126,0.019648606,2.40338E-05,0.032581423,0.093524049,,,,,,
83,0.054097164,0.019692917,0.000199583,0.032235092,0.056580367,,,,,,
84,0.04605474,0.021811669,7.44461E-05,0.0308712,0.079791655,,,,,,
85,0.054722093,0.015319592,0.000151044,0.02996201,0.055584479,,,,,,
86,0.038579456,0.017468377,2.16202E-05,0.027910738,0.053225715,,,,,,
87,0.039231614,0.017422919,0.000218504,0.031058737,0.053774773,,,,,,
88,0.036559399,0.018145329,0.000148839,0.031072847,0.056271772,,,,,,
89,0.039874857,0.01654645,1.96328E-05,0.030478289,0.057006375,,,,,,
90,0.030553381,0.017581774,3.81419E-05,0.030643511,0.070011169,,,,,,
91,0.037418704,0.014305311,4.11964E-05,0.033537376,0.060263227,,,,,,
92,0.030966609,0.016362865,0.00026508,0.031339327,0.065010585,,,,,,
93,0.034509804,0.01863645,3.56057E-05,0.030950248,0.086645577,,,,,,
94,0.039193079,0.014470969,0.000101257,0.028970148,0.050986752,,,,,,
95,0.03162302,0.015859095,8.08104E-05,0.030494514,0.054575077,,,,,,
96,0.034260602,0.017676425,3.35321E-05,0.028298087,0.055404763,,,,,,
97,0.036845335,0.015205642,0.000158357,0.030340714,0.061698041,,,,,,
98,0.036851895,0.015919787,0.000323738,0.030386828,0.065433084,,,,,,
99,0.036956882,0.016050509,0.000146124,0.030332407,0.059109621,,,,,,
100,0.03753665,0.012640879,5.28442E-05,0.029485991,0.056806282,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
