"Step","Mno_relu_DS10_Osgd_W0.003 - validation.prediction_error","Mno_relu_DS10_Osgd_W0.003 - validation.prediction_error__MIN","Mno_relu_DS10_Osgd_W0.003 - validation.prediction_error__MAX"
"0","0.07549350708723068","0.07549350708723068","0.07549350708723068"
"1","0.003309703664854169","0.003309703664854169","0.003309703664854169"
"2","0.002958275144919753","0.002958275144919753","0.002958275144919753"
"3","0.0028400719165802","0.0028400719165802","0.0028400719165802"
"4","0.0028181031811982393","0.0028181031811982393","0.0028181031811982393"
"5","0.002845639595761895","0.002845639595761895","0.002845639595761895"
"6","0.002904048189520836","0.002904048189520836","0.002904048189520836"
"7","0.0029787402600049973","0.0029787402600049973","0.0029787402600049973"
"8","0.003065122291445732","0.003065122291445732","0.003065122291445732"
"9","0.003158778650686145","0.003158778650686145","0.003158778650686145"
"10","0.003257933771237731","0.003257933771237731","0.003257933771237731"
"11","0.0033593124244362116","0.0033593124244362116","0.0033593124244362116"
"12","0.003458952996879816","0.003458952996879816","0.003458952996879816"
"13","0.003556865965947509","0.003556865965947509","0.003556865965947509"
"14","0.0036545160692185163","0.0036545160692185163","0.0036545160692185163"
"15","0.003751086536794901","0.003751086536794901","0.003751086536794901"
"16","0.0038428031839430332","0.0038428031839430332","0.0038428031839430332"
"17","0.003926575183868408","0.003926575183868408","0.003926575183868408"
"18","0.003997005522251129","0.003997005522251129","0.003997005522251129"
"19","0.004059320781379938","0.004059320781379938","0.004059320781379938"
"20","0.004118088632822037","0.004118088632822037","0.004118088632822037"
"21","0.0041695027612149715","0.0041695027612149715","0.0041695027612149715"
"22","0.004213325213640928","0.004213325213640928","0.004213325213640928"
"23","0.004257011227309704","0.004257011227309704","0.004257011227309704"
"24","0.004302291665226221","0.004302291665226221","0.004302291665226221"
"25","0.004347608890384436","0.004347608890384436","0.004347608890384436"
"26","0.004390851128846407","0.004390851128846407","0.004390851128846407"
"27","0.0044301520101726055","0.0044301520101726055","0.0044301520101726055"
"28","0.004470199812203646","0.004470199812203646","0.004470199812203646"
"29","0.004509720019996166","0.004509720019996166","0.004509720019996166"
"30","0.004545868374407291","0.004545868374407291","0.004545868374407291"
"31","0.0045787263661623","0.0045787263661623","0.0045787263661623"
"32","0.004609272349625826","0.004609272349625826","0.004609272349625826"
"33","0.00463614659383893","0.00463614659383893","0.00463614659383893"
"34","0.004661865066736937","0.004661865066736937","0.004661865066736937"
"35","0.0046853977255523205","0.0046853977255523205","0.0046853977255523205"
"36","0.004706148058176041","0.004706148058176041","0.004706148058176041"
"37","0.004725726321339607","0.004725726321339607","0.004725726321339607"
"38","0.0047440542839467525","0.0047440542839467525","0.0047440542839467525"
"39","0.004761043004691601","0.004761043004691601","0.004761043004691601"
"40","0.004776551853865385","0.004776551853865385","0.004776551853865385"
"41","0.004790096543729305","0.004790096543729305","0.004790096543729305"
"42","0.004801792558282614","0.004801792558282614","0.004801792558282614"
"43","0.004812226165086031","0.004812226165086031","0.004812226165086031"
"44","0.0048220111057162285","0.0048220111057162285","0.0048220111057162285"
"45","0.00483133876696229","0.00483133876696229","0.00483133876696229"
"46","0.004841012414544821","0.004841012414544821","0.004841012414544821"
"47","0.004848876968026161","0.004848876968026161","0.004848876968026161"
"48","0.004856393672525883","0.004856393672525883","0.004856393672525883"
"49","0.0048631327226758","0.0048631327226758","0.0048631327226758"
"50","0.004869251511991024","0.004869251511991024","0.004869251511991024"
"51","0.004874547012150288","0.004874547012150288","0.004874547012150288"
"52","0.004880597814917564","0.004880597814917564","0.004880597814917564"
"53","0.004886345472186804","0.004886345472186804","0.004886345472186804"
"54","0.004891566466540098","0.004891566466540098","0.004891566466540098"
"55","0.00489647313952446","0.00489647313952446","0.00489647313952446"
"56","0.004900509491562843","0.004900509491562843","0.004900509491562843"
"57","0.004904167260974646","0.004904167260974646","0.004904167260974646"
"58","0.004907701630145311","0.004907701630145311","0.004907701630145311"
"59","0.0049111489206552505","0.0049111489206552505","0.0049111489206552505"
"60","0.0049146618694067","0.0049146618694067","0.0049146618694067"
"61","0.004917670972645283","0.004917670972645283","0.004917670972645283"
"62","0.004920399282127619","0.004920399282127619","0.004920399282127619"
"63","0.004923088941723108","0.004923088941723108","0.004923088941723108"
"64","0.004925275221467018","0.004925275221467018","0.004925275221467018"
"65","0.004927483387291431","0.004927483387291431","0.004927483387291431"
"66","0.004929521586745977","0.004929521586745977","0.004929521586745977"
"67","0.004931516479700804","0.004931516479700804","0.004931516479700804"
"68","0.00493351137265563","0.00493351137265563","0.00493351137265563"
"69","0.004935292061418295","0.004935292061418295","0.004935292061418295"
"70","0.004936923272907734","0.004936923272907734","0.004936923272907734"
"71","0.00493849441409111","0.00493849441409111","0.00493849441409111"
"72","0.004939999897032976","0.004939999897032976","0.004939999897032976"
"73","0.004941354971379042","0.004941354971379042","0.004941354971379042"
"74","0.004942696075886488","0.004942696075886488","0.004942696075886488"
"75","0.00494390306994319","0.00494390306994319","0.00494390306994319"
"76","0.004945233929902315","0.004945233929902315","0.004945233929902315"
"77","0.004946520552039146","0.004946520552039146","0.004946520552039146"
"78","0.004947757814079523","0.004947757814079523","0.004947757814079523"
"79","0.004949294496327639","0.004949294496327639","0.004949294496327639"
"80","0.004950642120093107","0.004950642120093107","0.004950642120093107"
"81","0.004952088929712772","0.004952088929712772","0.004952088929712772"
"82","0.004953688941895962","0.004953688941895962","0.004953688941895962"
"83","0.004954945296049118","0.004954945296049118","0.004954945296049118"
"84","0.004956151824444532","0.004956151824444532","0.004956151824444532"
"85","0.004957223776727915","0.004957223776727915","0.004957223776727915"
"86","0.004958461504429579","0.004958461504429579","0.004958461504429579"
"87","0.0049593751318752766","0.0049593751318752766","0.0049593751318752766"
"88","0.004960275255143642","0.004960275255143642","0.004960275255143642"
"89","0.004960966296494007","0.004960966296494007","0.004960966296494007"
"90","0.004961637780070305","0.004961637780070305","0.004961637780070305"
"91","0.004962101113051176","0.004962101113051176","0.004962101113051176"
"92","0.004962416365742683","0.004962416365742683","0.004962416365742683"
"93","0.004962677601724863","0.004962677601724863","0.004962677601724863"
"94","0.004963057115674019","0.004963057115674019","0.004963057115674019"
"95","0.004963354207575321","0.004963354207575321","0.004963354207575321"
"96","0.0049638147465884686","0.0049638147465884686","0.0049638147465884686"
"97","0.004964047111570835","0.004964047111570835","0.004964047111570835"
"98","0.004964569117873907","0.004964569117873907","0.004964569117873907"
"99","0.004964844323694706","0.004964844323694706","0.004964844323694706"
"100","0.0049650524742901325","0.0049650524742901325","0.0049650524742901325"